LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:21:52,0                 
Time,Ampl
-3.6976491,0.0139944
-3.6966491,0.0144111
-3.6956491,0.014625
-3.6946491,0.0146722
-3.6936491,0.0148944
-3.6926491,0.0152139
-3.6916491,0.0153722
-3.6906491,0.015375
-3.6896491,0.0152083
-3.6886491,0.0149194
-3.6876491,0.0145472
-3.6866491,0.0144111
-3.6856491,0.0145111
-3.6846491,0.0148028
-3.6836491,0.0150778
-3.6826491,0.0153778
-3.6816491,0.0155722
-3.6806491,0.0157889
-3.6796491,0.0159333
-3.6786491,0.0160944
-3.6776491,0.015975
-3.6766491,0.0156694
-3.6756491,0.0152444
-3.6746491,0.0150139
-3.6736491,0.0149139
-3.6726491,0.0153194
-3.6716491,0.0161833
-3.6706491,0.0170833
-3.6696491,0.0176083
-3.6686491,0.0177861
-3.6676491,0.0177778
-3.6666491,0.0176806
-3.6656491,0.0179278
-3.6646491,0.0187528
-3.6636491,0.0200917
-3.6626491,0.0215556
-3.6616491,0.0232028
-3.6606491,0.0246861
-3.6596491,0.0257389
-3.6586491,0.0261583
-3.6576491,0.0258917
-3.6566491,0.0248111
-3.6556491,0.0232639
-3.6546491,0.0218694
-3.6536491,0.0209861
-3.6526491,0.0210694
-3.6516491,0.0217333
-3.6506491,0.0227778
-3.6496491,0.0233167
-3.6486491,0.0235139
-3.6476491,0.0230833
-3.6466491,0.0224444
-3.6456491,0.0217722
-3.6446491,0.0216778
-3.6436491,0.0219917
-3.6426491,0.0222556
-3.6416491,0.0223583
-3.6406491,0.02225
-3.6396491,0.0220917
-3.6386491,0.0217361
-3.6376491,0.0214028
-3.6366491,0.0210583
-3.6356491,0.0205139
-3.6346491,0.0194278
-3.6336491,0.0178694
-3.6326491,0.0163556
-3.6316491,0.0152778
-3.6306491,0.014875
-3.6296491,0.0151111
-3.6286491,0.0159278
-3.6276491,0.0168694
-3.6266491,0.0174444
-3.6256491,0.0172806
-3.6246491,0.0165444
-3.6236491,0.0153778
-3.6226491,0.0141111
-3.6216491,0.0130222
-3.6206491,0.0124944
-3.6196491,0.0126194
-3.6186491,0.0132333
-3.6176491,0.0140833
-3.6166491,0.0150417
-3.6156491,0.0159667
-3.6146491,0.016525
-3.6136491,0.0167833
-3.6126491,0.0167861
-3.6116491,0.0165333
-3.6106491,0.0160056
-3.6096491,0.0155111
-3.6086491,0.0152389
-3.6076491,0.0151833
-3.6066491,0.0153278
-3.6056491,0.0155833
-3.6046491,0.0157278
-3.6036491,0.0158361
-3.6026491,0.0160444
-3.6016491,0.0165861
-3.6006491,0.0177556
-3.5996491,0.0200694
-3.5986491,0.0222083
-3.5976491,0.0239917
-3.5966491,0.0247111
-3.5956491,0.0251194
-3.5946491,0.0241056
-3.5936491,0.0233778
-3.5926491,0.02255
-3.5916491,0.022725
-3.5906491,0.0219639
-3.5896491,0.0212222
-3.5886491,0.0196361
-3.5876491,0.0181444
-3.5866491,0.0161639
-3.5856491,0.0146889
-3.5846491,0.0135972
-3.5836491,0.0132222
-3.5826491,0.0130167
-3.5816491,0.0128111
-3.5806491,0.0125833
-3.5796491,0.0121389
-3.5786491,0.0116306
-3.5776491,0.0112
-3.5766491,0.0112167
-3.5756491,0.011575
-3.5746491,0.0124056
-3.5736491,0.0132056
-3.5726491,0.0138278
-3.5716491,0.0140528
-3.5706491,0.0141556
-3.5696491,0.0140694
-3.5686491,0.0139861
-3.5676491,0.0140278
-3.5666491,0.0141444
-3.5656491,0.0142
-3.5646491,0.0140361
-3.5636491,0.0138472
-3.5626491,0.0134972
-3.5616491,0.0131194
-3.5606491,0.0128111
-3.5596491,0.012825
-3.5586491,0.0129861
-3.5576491,0.0132778
-3.5566491,0.0138528
-3.5556491,0.0145278
-3.5546491,0.0149944
-3.5536491,0.0151833
-3.5526491,0.0153806
-3.5516491,0.0152944
-3.5506491,0.0148611
-3.5496491,0.0143333
-3.5486491,0.0140639
-3.5476491,0.0137
-3.5466491,0.0133167
-3.5456491,0.0129583
-3.5446491,0.0128639
-3.5436491,0.0126333
-3.5426491,0.0125583
-3.5416491,0.0126833
-3.5406491,0.0132528
-3.5396491,0.0138861
-3.5386491,0.0146417
-3.5376491,0.0154417
-3.5366491,0.0161528
-3.5356491,0.0166111
-3.5346491,0.0168083
-3.5336491,0.0168389
-3.5326491,0.016475
-3.5316491,0.0159361
-3.5306491,0.0152722
-3.5296491,0.0147361
-3.5286491,0.0143
-3.5276491,0.0140639
-3.5266491,0.013975
-3.5256491,0.0139306
-3.5246491,0.0137361
-3.5236491,0.01345
-3.5226491,0.0133667
-3.5216491,0.0136306
-3.5206491,0.0142861
-3.5196491,0.0151528
-3.5186491,0.016175
-3.5176491,0.0170611
-3.5166491,0.0173722
-3.5156491,0.0170917
-3.5146491,0.0165889
